Designator,Footprint,Quantity,Value,LCSC Part #
C10,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,22pF,
C5,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,2nF,
C6,CP_Radial_D6.3mm_P2.50mm,1,1uF,
C7,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,220p,
C8,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,4.7n,
C9,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,1nF,
D1,D_A-405_P10.16mm_Horizontal,1,3.9V Zener Diode,
J1,Samtec_HPM-03-01-x-S_Straight_1x03_Pitch5.08mm,1,power input,
"J10, J4, J5, J6, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,
"J11, J2, J3, J7",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"R10, R17, R18, R20, R23, R27, R28, R30, R31, R33, R5, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,12,100K,
"R11, R12",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,15K,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7M,
"R14, R16, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10K,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,150K,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470K,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470R,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,33K,
TP1,Potentiometer_Bourns_3266Y_Vertical,1,20K,
TP2,Potentiometer_Bourns_3266Y_Vertical,1,500K,
"U1, U2",DIP-14_W7.62mm_LongPads,2,TL074,
"VACTROL1, VACTROL2",PerkinElmer_VTL5C,2,VTL5C3 Vactrol,
