Designator,Mid X,Mid Y,Rotation,Layer
C10,142.2,-64.135,0.0,top
C5,116.8,-80.01,0.0,top
C6,129.56,-133.35,180.0,top
C7,153.63,-73.66,0.0,top
C8,166.33,-73.66,0.0,top
C9,142.2,-73.66,0.0,top
D1,116.84,-104.14,270.0,top
J1,106.68,-96.52,0.0,top
J10,172.72,-142.24,0.0,top
J11,194.31,-85.09,0.0,top
J2,194.31,-119.38,0.0,top
J3,194.31,-107.95,0.0,top
J4,177.8,-142.24,0.0,top
J5,182.88,-142.24,0.0,top
J6,162.56,-142.24,0.0,top
J7,194.31,-96.52,0.0,top
J8,194.31,-69.85,0.0,top
J9,167.64,-142.24,0.0,top
R10,129.54,-120.65,0.0,top
R11,116.84,-69.85,0.0,top
R12,166.37,-59.69,0.0,top
R13,166.37,-63.5,0.0,top
R14,142.24,-78.74,0.0,top
R15,142.24,-82.55,180.0,top
R16,166.37,-67.31,0.0,top
R17,129.54,-115.57,0.0,top
R18,166.37,-80.01,0.0,top
R20,116.84,-93.98,180.0,top
R23,166.37,-106.68,0.0,top
R27,166.37,-102.87,180.0,top
R28,166.37,-87.63,180.0,top
R3,166.37,-83.82,180.0,top
R30,166.37,-99.06,0.0,top
R31,142.24,-96.52,180.0,top
R33,142.24,-101.6,180.0,top
R4,116.84,-90.17,0.0,top
R5,116.84,-86.36,0.0,top
R6,148.59,-137.795,0.0,top
R7,116.84,-115.57,180.0,top
R8,116.84,-73.66,0.0,top
R9,129.54,-125.73,0.0,top
TP1,116.84,-123.19,180.0,top
TP2,116.84,-132.08,0.0,top
U1,129.54,-71.12,0.0,top
U2,129.54,-93.98,0.0,top
VACTROL1,148.47,-112.39,0.0,top
VACTROL2,148.47,-127.63,0.0,top
